Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Average
Logistic Regression,0.8097560975609757,0.7619047619047619,0.9142857142857143,0.8311688311688312,0.9298095238095239,0.8493849857459616
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0
